# Graph for Java/GraphStream
# Nodes: 26
# Edges: 278

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Ander Capa | Iker Muniain | 26 | 37 | 31
EDGE Ander Capa | Ibai Gómez | 7 | 37 | 8
EDGE Ander Capa | Asier Villalibre | 5 | 37 | 7
EDGE Ander Capa | Oihan Sancet | 5 | 37 | 9
EDGE Ander Capa | Gaizka Larrazabal | 2 | 37 | 3
EDGE Ander Capa | Kenan Kodro | 3 | 37 | 4
EDGE Ander Capa | Óscar de Marcos | 3 | 37 | 7
EDGE Ander Capa | Unai Vencedor | 1 | 37 | 2
EDGE Mikel Vesga | Beñat Etxebarria | 2 | 18 | 6
EDGE Mikel Vesga | Iñigo Lekue | 5 | 18 | 9
EDGE Mikel Vesga | Raúl García | 15 | 18 | 41
EDGE Mikel Vesga | Iñigo Córdoba | 6 | 18 | 22
EDGE Mikel Vesga | Iñaki Williams | 14 | 18 | 41
EDGE Mikel Vesga | Unai Simón | 14 | 18 | 38
EDGE Mikel Vesga | Yeray Álvarez | 13 | 18 | 38
EDGE Mikel Vesga | Óscar de Marcos | 4 | 18 | 7
EDGE Mikel Vesga | Unai López | 3 | 18 | 25
EDGE Mikel Vesga | Oihan Sancet | 4 | 18 | 9
EDGE Mikel Vesga | Yuri Berchiche | 12 | 18 | 38
EDGE Mikel Vesga | Dani García | 11 | 18 | 38
EDGE Mikel Vesga | Iker Muniain | 11 | 18 | 31
EDGE Mikel Vesga | Asier Villalibre | 4 | 18 | 7
EDGE Mikel Vesga | Gaizka Larrazabal | 2 | 18 | 3
EDGE Mikel Vesga | Ibai Gómez | 2 | 18 | 8
EDGE Mikel Vesga | Kenan Kodro | 2 | 18 | 4
EDGE Mikel Vesga | Mikel San José | 1 | 18 | 4
EDGE Mikel Vesga | Unai Vencedor | 1 | 18 | 2
EDGE Beñat Etxebarria | Iñigo Lekue | 3 | 6 | 9
EDGE Beñat Etxebarria | Raúl García | 5 | 6 | 41
EDGE Beñat Etxebarria | Iñigo Córdoba | 2 | 6 | 22
EDGE Beñat Etxebarria | Iñaki Williams | 4 | 6 | 41
EDGE Beñat Etxebarria | Yuri Berchiche | 3 | 6 | 38
EDGE Beñat Etxebarria | Dani García | 3 | 6 | 38
EDGE Beñat Etxebarria | Gaizka Larrazabal | 2 | 6 | 3
EDGE Beñat Etxebarria | Unai Simón | 2 | 6 | 38
EDGE Beñat Etxebarria | Yeray Álvarez | 3 | 6 | 38
EDGE Beñat Etxebarria | Óscar de Marcos | 1 | 6 | 7
EDGE Beñat Etxebarria | Iker Muniain | 1 | 6 | 31
EDGE Beñat Etxebarria | Mikel San José | 1 | 6 | 4
EDGE Beñat Etxebarria | Ibai Gómez | 3 | 6 | 8
EDGE Beñat Etxebarria | Asier Villalibre | 3 | 6 | 7
EDGE Beñat Etxebarria | Kenan Kodro | 1 | 6 | 4
EDGE Iñigo Lekue | Raúl García | 7 | 9 | 41
EDGE Iñigo Lekue | Iñigo Córdoba | 4 | 9 | 22
EDGE Iñigo Lekue | Iñaki Williams | 6 | 9 | 41
EDGE Iñigo Lekue | Unai Simón | 5 | 9 | 38
EDGE Iñigo Lekue | Yeray Álvarez | 6 | 9 | 38
EDGE Iñigo Lekue | Óscar de Marcos | 1 | 9 | 7
EDGE Iñigo Lekue | Unai López | 4 | 9 | 25
EDGE Iñigo Lekue | Oihan Sancet | 2 | 9 | 9
EDGE Iñigo Lekue | Dani García | 5 | 9 | 38
EDGE Iñigo Lekue | Asier Villalibre | 4 | 9 | 7
EDGE Iñigo Lekue | Yuri Berchiche | 4 | 9 | 38
EDGE Iñigo Lekue | Iker Muniain | 2 | 9 | 31
EDGE Iñigo Lekue | Kenan Kodro | 2 | 9 | 4
EDGE Iñigo Lekue | Mikel San José | 1 | 9 | 4
EDGE Iñigo Lekue | Ibai Gómez | 2 | 9 | 8
EDGE Iñigo Lekue | Gaizka Larrazabal | 1 | 9 | 3
EDGE Raúl García | Iñigo Córdoba | 19 | 41 | 22
EDGE Raúl García | Iñaki Williams | 37 | 41 | 41
EDGE Raúl García | Unai Simón | 34 | 41 | 38
EDGE Raúl García | Yeray Álvarez | 34 | 41 | 38
EDGE Raúl García | Yuri Berchiche | 35 | 41 | 38
EDGE Raúl García | Mikel San José | 3 | 41 | 4
