# Graph for Java/GraphStream
# Nodes: 23
# Edges: 230

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Fernando Gago | Karim Benzema | 2 | 16 | 18
EDGE Fernando Gago | Guti | 6 | 16 | 13
EDGE Fernando Gago | Álvaro Arbeloa | 12 | 16 | 38
EDGE Fernando Gago | Jerzy Dudek | 1 | 16 | 2
EDGE Fernando Gago | Pepe | 2 | 16 | 17
EDGE Fernando Gago | Mahamadou Diarra | 2 | 16 | 7
EDGE Fernando Gago | Ruud van Nistelrooy | 1 | 16 | 1
EDGE Fernando Gago | Christoph Metzelder | 1 | 16 | 3
EDGE Xabi Alonso | Esteban Granero | 21 | 41 | 25
EDGE Xabi Alonso | Rafael van der Vaart | 15 | 41 | 18
EDGE Xabi Alonso | Cristiano Ronaldo | 28 | 41 | 33
EDGE Xabi Alonso | Gonzalo Higuaín | 30 | 41 | 35
EDGE Xabi Alonso | Pepe | 16 | 41 | 17
EDGE Xabi Alonso | Álvaro Arbeloa | 33 | 41 | 38
EDGE Xabi Alonso | Lassana Diarra | 21 | 41 | 26
EDGE Xabi Alonso | Kaká | 25 | 41 | 29
EDGE Xabi Alonso | Karim Benzema | 16 | 41 | 18
EDGE Xabi Alonso | Guti | 10 | 41 | 13
EDGE Xabi Alonso | Raúl | 10 | 41 | 13
EDGE Xabi Alonso | Royston Drenthe | 4 | 41 | 5
EDGE Xabi Alonso | Mahamadou Diarra | 3 | 41 | 7
EDGE Xabi Alonso | Christoph Metzelder | 1 | 41 | 3
EDGE Esteban Granero | Rafael van der Vaart | 9 | 25 | 18
EDGE Esteban Granero | Cristiano Ronaldo | 17 | 25 | 33
EDGE Esteban Granero | Gonzalo Higuaín | 18 | 25 | 35
EDGE Esteban Granero | Álvaro Arbeloa | 18 | 25 | 38
EDGE Esteban Granero | Lassana Diarra | 10 | 25 | 26
EDGE Esteban Granero | Kaká | 14 | 25 | 29
EDGE Esteban Granero | Guti | 7 | 25 | 13
EDGE Esteban Granero | Raúl | 7 | 25 | 13
EDGE Esteban Granero | Karim Benzema | 8 | 25 | 18
EDGE Esteban Granero | Pepe | 6 | 25 | 17
EDGE Esteban Granero | Royston Drenthe | 4 | 25 | 5
EDGE Esteban Granero | Christoph Metzelder | 3 | 25 | 3
EDGE Esteban Granero | Jerzy Dudek | 1 | 25 | 2
EDGE Esteban Granero | Mahamadou Diarra | 4 | 25 | 7
EDGE Rafael van der Vaart | Cristiano Ronaldo | 15 | 18 | 33
EDGE Rafael van der Vaart | Gonzalo Higuaín | 16 | 18 | 35
EDGE Rafael van der Vaart | Álvaro Arbeloa | 16 | 18 | 38
EDGE Rafael van der Vaart | Lassana Diarra | 7 | 18 | 26
EDGE Rafael van der Vaart | Guti | 4 | 18 | 13
EDGE Rafael van der Vaart | Kaká | 1 | 18 | 29
EDGE Rafael van der Vaart | Pepe | 4 | 18 | 17
EDGE Rafael van der Vaart | Raúl | 2 | 18 | 13
EDGE Rafael van der Vaart | Karim Benzema | 3 | 18 | 18
EDGE Rafael van der Vaart | Jerzy Dudek | 1 | 18 | 2
EDGE Rafael van der Vaart | Christoph Metzelder | 2 | 18 | 3
EDGE Rafael van der Vaart | Royston Drenthe | 1 | 18 | 5
EDGE Rafael van der Vaart | Mahamadou Diarra | 3 | 18 | 7
EDGE Cristiano Ronaldo | Gonzalo Higuaín | 27 | 33 | 35
EDGE Cristiano Ronaldo | Álvaro Arbeloa | 27 | 33 | 38
EDGE Cristiano Ronaldo | Lassana Diarra | 18 | 33 | 26
EDGE Cristiano Ronaldo | Kaká | 17 | 33 | 29
EDGE Cristiano Ronaldo | Pepe | 6 | 33 | 17
EDGE Cristiano Ronaldo | Raúl | 4 | 33 | 13
EDGE Cristiano Ronaldo | Karim Benzema | 6 | 33 | 18
EDGE Cristiano Ronaldo | Guti | 8 | 33 | 13
EDGE Cristiano Ronaldo | Royston Drenthe | 2 | 33 | 5
EDGE Cristiano Ronaldo | Mahamadou Diarra | 3 | 33 | 7
EDGE Cristiano Ronaldo | Christoph Metzelder | 1 | 33 | 3
EDGE Gonzalo Higuaín | Pepe | 11 | 35 | 17
EDGE Gonzalo Higuaín | Álvaro Arbeloa | 32 | 35 | 38
EDGE Gonzalo Higuaín | Lassana Diarra | 19 | 35 | 26
EDGE Gonzalo Higuaín | Kaká | 19 | 35 | 29
EDGE Gonzalo Higuaín | Karim Benzema | 6 | 35 | 18
EDGE Gonzalo Higuaín | Guti | 7 | 35 | 13
EDGE Gonzalo Higuaín | Raúl | 3 | 35 | 13
EDGE Gonzalo Higuaín | Royston Drenthe | 2 | 35 | 5
EDGE Gonzalo Higuaín | Christoph Metzelder | 2 | 35 | 3
EDGE Gonzalo Higuaín | Mahamadou Diarra | 4 | 35 | 7
EDGE Gonzalo Higuaín | Jerzy Dudek | 1 | 35 | 2
EDGE Gonzalo Higuaín | Ruud van Nistelrooy | 1 | 35 | 1
EDGE Pepe | Álvaro Arbeloa | 11 | 17 | 38
EDGE Pepe | Lassana Diarra | 12 | 17 | 26
EDGE Pepe | Kaká | 12 | 17 | 29
EDGE Pepe | Karim Benzema | 10 | 17 | 18
EDGE Pepe | Raúl | 8 | 17 | 13
EDGE Pepe | Royston Drenthe | 4 | 17 | 5
EDGE Pepe | Mahamadou Diarra | 3 | 17 | 7
EDGE Pepe | Guti | 2 | 17 | 13
EDGE Pepe | Jerzy Dudek | 1 | 17 | 2
EDGE Pepe | Ruud van Nistelrooy | 1 | 17 | 1
EDGE Álvaro Arbeloa | Lassana Diarra | 20 | 38 | 26
EDGE Álvaro Arbeloa | Kaká | 22 | 38 | 29
EDGE Álvaro Arbeloa | Karim Benzema | 12 | 38 | 18
EDGE Álvaro Arbeloa | Guti | 10 | 38 | 13
EDGE Álvaro Arbeloa | Raúl | 7 | 38 | 13
EDGE Álvaro Arbeloa | Royston Drenthe | 3 | 38 | 5
EDGE Álvaro Arbeloa | Christoph Metzelder | 3 | 38 | 3
EDGE Álvaro Arbeloa | Jerzy Dudek | 2 | 38 | 2
EDGE Álvaro Arbeloa | Mahamadou Diarra | 5 | 38 | 7
EDGE Álvaro Arbeloa | Ruud van Nistelrooy | 1 | 38 | 1
EDGE Lassana Diarra | Kaká | 18 | 26 | 29
EDGE Lassana Diarra | Karim Benzema | 11 | 26 | 18
EDGE Lassana Diarra | Raúl | 8 | 26 | 13
EDGE Lassana Diarra | Guti | 3 | 26 | 13
EDGE Lassana Diarra | Royston Drenthe | 2 | 26 | 5
EDGE Lassana Diarra | Mahamadou Diarra | 2 | 26 | 7
EDGE Lassana Diarra | Jerzy Dudek | 1 | 26 | 2
EDGE Lassana Diarra | Ruud van Nistelrooy | 1 | 26 | 1
EDGE Kaká | Karim Benzema | 14 | 29 | 18
EDGE Kaká | Raúl | 10 | 29 | 13
EDGE Kaká | Guti | 8 | 29 | 13
EDGE Kaká | Royston Drenthe | 3 | 29 | 5
EDGE Kaká | Mahamadou Diarra | 4 | 29 | 7
EDGE Kaká | Christoph Metzelder | 1 | 29 | 3
EDGE Kaká | Jerzy Dudek | 1 | 29 | 2
EDGE Kaká | Ruud van Nistelrooy | 1 | 29 | 1
EDGE Karim Benzema | Raúl | 9 | 18 | 13
EDGE Karim Benzema | Guti | 7 | 18 | 13
EDGE Karim Benzema | Royston Drenthe | 3 | 18 | 5
EDGE Karim Benzema | Mahamadou Diarra | 2 | 18 | 7
EDGE Karim Benzema | Christoph Metzelder | 2 | 18 | 3
EDGE Karim Benzema | Jerzy Dudek | 1 | 18 | 2
EDGE Raúl | Guti | 4 | 13 | 13
EDGE Raúl | Royston Drenthe | 4 | 13 | 5
EDGE Raúl | Mahamadou Diarra | 4 | 13 | 7
EDGE Raúl | Jerzy Dudek | 2 | 13 | 2
EDGE Raúl | Christoph Metzelder | 1 | 13 | 3
EDGE Raúl | Ruud van Nistelrooy | 1 | 13 | 1
EDGE Guti | Mahamadou Diarra | 2 | 13 | 7
EDGE Guti | Christoph Metzelder | 2 | 13 | 3
EDGE Guti | Jerzy Dudek | 1 | 13 | 2
EDGE Guti | Royston Drenthe | 1 | 13 | 5
EDGE Royston Drenthe | Jerzy Dudek | 1 | 5 | 2
EDGE Royston Drenthe | Christoph Metzelder | 1 | 5 | 3
EDGE Royston Drenthe | Mahamadou Diarra | 2 | 5 | 7
EDGE Mahamadou Diarra | Jerzy Dudek | 2 | 7 | 2
EDGE Mahamadou Diarra | Christoph Metzelder | 2 | 7 | 3
EDGE Mahamadou Diarra | Ruud van Nistelrooy | 1 | 7 | 1
EDGE Christoph Metzelder | Jerzy Dudek | 1 | 3 | 2
EDGE Jerzy Dudek | Ruud van Nistelrooy | 1 | 2 | 1
